Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2005,0.159,82,35.9,81.4,3.7,11.9,32.2,69.5,17.3,24.3,13.4,28.5,19.7,7.7,4.2,16.1,24.5,92.7,82,37.1,77.9,5.7,15.0,31.4,62.9,22.5,29.2,11.0,30.3,22.0,8.7,5.9,14.8,21.7,102.5,26.0,0.09,-9.62,100.6,111.1,91.4,0.299,0.146,0.504,0.464,14.9,30.7,0.212,0.513,14.0,72.1,0.289,Philips Arena,14302,0.0
Boston Celtics,2005,0.549,82,37.1,79.4,5.3,15.3,31.8,64.1,21.6,28.3,11.1,29.7,22.1,8.1,5.2,15.8,24.4,101.3,82,36.1,81.3,6.0,16.7,30.1,64.6,22.3,29.5,12.7,29.6,22.7,8.7,4.9,15.6,23.6,100.4,27.1,-0.52,0.35,107.5,106.6,93.3,0.357,0.192,0.551,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,FleetCenter,16002,0.0
Charlotte Bobcats,2005,0.22,82,36.1,83.6,3.9,10.7,32.2,72.9,18.1,25.6,13.2,28.5,21.9,8.5,5.4,14.5,23.1,94.3,82,36.8,79.4,5.4,14.9,31.4,64.4,21.3,27.8,11.7,31.5,21.6,7.6,5.4,15.8,22.7,100.2,24.9,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.497,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,14432,0.0
Chicago Bulls,2005,0.573,82,34.7,80.4,6.2,17.5,28.5,62.9,18.7,25.0,12.2,31.6,21.3,7.0,4.5,16.7,24.7,94.5,82,33.7,79.9,5.1,15.2,28.6,64.7,20.9,28.1,11.9,30.8,20.9,8.4,5.3,15.5,23.3,93.4,25.0,-0.41,0.65,101.4,100.3,92.4,0.311,0.217,0.517,0.471,15.5,28.4,0.233,0.454,14.4,72.6,0.262,United Center,20204,0.0
Cleveland Cavaliers,2005,0.512,82,36.5,81.5,3.7,11.0,32.8,70.5,19.9,26.5,13.6,28.7,22.6,8.0,5.6,13.9,22.6,96.5,82,35.5,78.6,5.1,13.7,30.4,64.9,19.5,26.0,11.4,28.3,21.2,6.7,5.1,14.8,21.6,95.7,26.5,-0.52,0.27,106.6,105.7,89.7,0.325,0.135,0.518,0.47,13.0,32.5,0.244,0.485,14.1,71.5,0.248,Gund Arena,19128,0.0
Dallas Mavericks,2005,0.707,82,37.3,81.6,5.6,15.5,31.6,66.1,22.3,28.2,12.1,30.9,19.6,8.6,5.6,13.4,22.3,102.5,82,35.9,81.9,5.5,16.7,30.4,65.2,19.5,25.9,13.1,30.1,20.9,7.1,4.9,15.6,23.2,96.8,27.7,0.11,5.86,110.3,104.1,92.7,0.346,0.19,0.545,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,American Airlines Center,20062,0.125
Denver Nuggets,2005,0.598,82,37.0,80.7,3.9,11.5,33.1,69.2,21.5,28.2,11.8,30.2,23.9,9.1,6.0,14.9,22.9,99.5,82,36.0,80.6,5.6,16.4,30.3,64.2,19.9,26.7,11.9,29.8,21.7,7.8,5.6,16.4,23.9,97.5,26.7,0.2,2.23,106.0,103.9,93.5,0.35,0.142,0.535,0.483,13.8,28.4,0.267,0.482,15.1,71.7,0.247,Pepsi Center,17657,0.0
Detroit Pistons,2005,0.659,82,34.8,78.3,4.4,12.8,30.3,65.5,19.4,26.2,12.9,30.6,21.8,7.0,6.1,13.8,20.0,93.3,82,34.0,79.2,5.0,14.8,29.0,64.4,16.4,21.8,11.3,28.3,19.7,7.4,4.5,13.8,22.6,89.5,27.9,-0.55,3.31,105.6,101.2,87.2,0.335,0.164,0.519,0.472,13.3,31.2,0.247,0.461,13.5,73.0,0.207,The Palace of Auburn Hills,22076,0.5
Golden State Warriors,2005,0.415,82,36.9,85.8,7.6,21.6,29.3,64.2,17.2,23.8,13.0,29.7,22.1,7.8,5.1,13.6,22.4,98.7,82,38.2,83.4,5.5,15.1,32.7,68.3,19.0,25.5,12.9,33.8,22.7,7.0,5.1,15.3,21.7,100.9,26.7,0.42,-1.74,104.7,106.9,93.3,0.278,0.252,0.512,0.475,12.3,27.8,0.201,0.491,13.9,69.7,0.227,Oakland Arena,16350,0.0
Houston Rockets,2005,0.622,82,34.7,78.3,6.7,18.5,28.0,59.7,18.9,24.2,10.7,31.7,21.1,6.9,4.6,13.8,22.0,95.1,82,33.2,78.3,5.5,16.4,27.6,62.0,19.2,25.8,10.9,29.8,20.7,7.4,4.1,13.3,21.6,91.0,29.7,0.23,4.27,106.2,101.7,88.8,0.309,0.237,0.534,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,Toyota Center,16182,0.0
