Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2003,0.427,82,34.9,78.5,4.9,13.9,30.0,64.5,19.4,24.5,11.4,31.2,20.5,7.5,5.8,16.7,21.7,94.1,82,36.8,84.2,5.4,15.2,31.3,69.1,18.7,24.5,13.1,29.5,21.6,9.0,5.0,13.0,20.3,97.6,27.2,-0.31,-3.87,102.3,106.1,91.0,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,12894,0.0
Boston Celtics,2003,0.537,82,32.9,79.4,8.8,26.3,24.2,53.1,18.0,24.3,10.4,30.1,19.2,8.8,3.7,14.0,21.4,92.7,82,34.2,78.7,5.6,17.1,28.5,61.6,19.0,25.4,11.4,33.5,22.2,7.5,4.5,16.0,21.9,93.1,26.9,-0.36,-0.75,101.2,101.6,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,17294,0.125
Chicago Bulls,2003,0.366,82,36.5,81.9,4.3,12.2,32.2,69.7,17.7,24.6,12.0,31.0,21.7,7.4,5.6,16.9,24.7,95.0,82,36.5,83.1,5.3,16.3,31.2,66.9,21.9,29.2,13.6,31.4,23.8,9.4,5.0,14.7,21.9,100.1,25.2,-0.17,-5.31,100.2,105.6,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,19617,0.0
Cleveland Cavaliers,2003,0.207,82,34.8,82.3,3.6,10.9,31.2,71.3,18.3,24.5,13.6,31.0,20.9,7.8,6.4,18.3,22.7,91.4,82,37.5,82.8,5.2,14.6,32.2,68.2,20.9,27.1,11.4,30.4,24.0,9.8,6.0,14.2,20.8,101.0,23.5,0.04,-9.59,96.5,106.7,94.0,0.298,0.133,0.491,0.444,16.4,31.0,0.223,0.484,13.0,73.2,0.252,Gund Arena,11497,0.0
Dallas Mavericks,2003,0.732,82,38.5,85.1,7.8,20.3,30.8,64.8,18.1,21.9,11.1,31.0,22.4,8.1,5.5,11.6,21.1,103.0,82,35.7,81.5,5.8,17.1,29.9,64.5,18.0,24.8,12.7,32.7,21.7,6.7,3.9,16.0,21.3,95.2,28.1,0.12,7.9,110.7,102.3,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,19913,0.25
Denver Nuggets,2003,0.207,82,32.8,79.8,2.8,10.0,30.0,69.8,15.8,22.6,13.6,28.8,21.2,8.7,5.1,18.5,25.1,84.2,82,32.9,74.2,5.1,13.8,27.8,60.4,21.6,28.5,10.5,29.8,21.5,9.0,6.6,17.1,21.8,92.4,24.1,0.87,-7.41,92.2,101.3,91.0,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,14825,0.0
Detroit Pistons,2003,0.61,82,32.9,76.5,6.5,18.1,26.4,58.4,19.0,24.6,10.8,29.8,19.8,6.8,5.7,13.5,21.3,91.4,82,33.5,76.5,3.5,10.2,29.9,66.2,17.2,23.1,10.5,30.8,18.3,6.9,4.3,14.0,23.2,87.7,29.0,-0.71,2.97,104.1,99.9,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74.0,0.225,The Palace of Auburn Hills,20470,0.25
Golden State Warriors,2003,0.463,82,37.3,84.6,5.2,15.1,32.1,69.6,22.6,29.0,15.7,31.0,20.9,7.2,6.2,15.8,21.8,102.4,82,39.5,87.5,5.3,14.4,34.2,73.1,19.2,25.4,14.7,29.1,23.6,8.7,6.0,13.7,23.6,103.6,24.4,0.54,-0.6,108.3,109.5,94.2,0.343,0.178,0.526,0.472,13.9,35.0,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,15486,0.0
Houston Rockets,2003,0.524,82,34.6,78.8,5.4,15.5,29.3,63.3,19.1,24.9,12.5,31.3,18.4,7.2,6.0,15.6,19.5,93.8,82,35.3,81.5,4.7,13.6,30.5,67.9,17.1,22.0,11.9,28.7,20.5,8.1,4.6,13.2,21.9,92.3,25.9,0.42,1.89,104.3,102.6,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,13785,0.0
Indiana Pacers,2003,0.585,82,35.5,80.6,4.6,13.6,30.9,66.9,21.2,27.7,12.2,32.0,23.3,8.5,5.4,14.8,22.1,96.8,82,34.9,81.6,5.0,14.6,29.9,67.0,18.6,24.3,12.3,30.0,20.7,7.6,6.3,15.3,23.5,93.3,25.9,-0.7,2.79,104.6,100.8,91.6,0.344,0.169,0.522,0.469,13.7,29.0,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,16353,0.0
