Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2023,0.5,82,44.6,92.4,10.8,30.5,33.9,61.8,18.5,22.6,11.2,33.2,25.0,7.1,4.9,12.9,18.8,118.4,82,43.8,90.2,11.9,33.5,31.9,56.7,18.6,23.2,10.6,33.5,26.0,7.5,5.0,14.2,19.7,118.1,24.9,0.02,0.32,116.6,116.3,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,State Farm Arena,17556,0.0
Boston Celtics,2023,0.695,82,42.2,88.8,16.0,42.6,26.2,46.2,17.5,21.6,9.7,35.6,26.7,6.4,5.2,13.4,18.8,117.9,82,41.8,90.2,11.6,33.7,30.1,56.5,16.2,21.1,9.7,34.3,23.1,6.6,3.9,12.7,19.1,111.4,27.4,-0.15,6.38,118.0,111.5,98.5,0.243,0.48,0.6,0.566,12.0,22.1,0.197,0.528,11.3,78.5,0.18,TD Garden,18689,0.25
Brooklyn Nets,2023,0.549,82,41.5,85.1,12.8,33.8,28.7,51.3,17.7,22.1,8.2,32.3,25.5,7.1,6.2,13.7,21.1,113.4,82,41.0,88.5,11.8,32.2,29.2,56.3,18.7,24.4,11.5,33.6,23.4,7.0,3.9,13.7,18.5,112.5,28.0,0.18,1.03,115.0,114.1,98.3,0.26,0.397,0.598,0.562,12.7,19.6,0.208,0.53,12.2,73.7,0.212,Barclays Center,17669,0.0
Charlotte Hornets,2023,0.329,82,41.3,90.4,10.7,32.5,30.5,57.9,17.6,23.6,11.0,33.5,25.1,7.7,5.2,14.2,20.3,111.0,82,43.0,90.1,12.2,34.3,30.7,55.8,19.0,24.0,10.9,35.3,25.9,7.0,5.7,14.4,20.3,117.2,25.3,0.35,-5.89,109.2,115.3,100.8,0.261,0.36,0.55,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,Spectrum Center,17123,0.0
Chicago Bulls,2023,0.488,82,42.5,86.8,10.4,28.9,32.1,57.9,17.6,21.8,8.5,33.9,24.5,7.9,4.5,13.4,18.9,113.1,82,40.7,87.1,13.2,37.1,27.5,50.0,17.1,22.0,9.6,33.7,26.0,6.7,4.7,15.0,18.7,111.8,27.5,0.07,1.37,113.5,112.2,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,United Center,20528,0.0
Cleveland Cavaliers,2023,0.622,82,41.6,85.2,11.6,31.6,30.0,53.6,17.5,22.5,9.7,31.4,24.9,7.1,4.7,13.3,19.0,112.3,82,39.0,83.5,11.3,30.6,27.8,52.9,17.5,22.4,9.8,31.5,23.0,7.0,4.4,15.7,20.4,106.9,25.4,-0.15,5.23,116.1,110.6,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,Rocket Mortgage Fieldhouse,18958,0.0
Dallas Mavericks,2023,0.463,82,40.0,84.3,15.2,41.0,24.8,43.3,19.0,25.1,7.6,31.2,22.9,6.3,3.7,12.2,20.7,114.2,82,41.8,86.2,11.1,31.7,30.6,54.5,19.5,25.0,10.1,34.6,24.9,6.4,3.8,13.1,21.8,114.1,27.8,-0.22,-0.14,116.8,116.7,96.6,0.298,0.487,0.599,0.565,11.4,18.0,0.225,0.549,11.9,75.5,0.226,American Airlines Center,20178,0.0
Denver Nuggets,2023,0.646,82,43.6,86.4,11.8,31.2,31.8,55.2,16.8,22.4,10.1,32.9,28.9,7.5,4.5,14.5,18.6,115.8,82,41.7,87.4,11.4,33.1,30.4,54.3,17.6,22.7,10.1,30.7,25.7,7.9,4.2,13.5,19.5,112.5,26.6,-0.29,3.04,117.6,114.2,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,Ball Arena,19235,1.0
Detroit Pistons,2023,0.207,82,39.6,87.1,11.4,32.4,28.2,54.6,19.8,25.7,11.2,31.3,23.0,7.0,3.8,15.1,22.1,110.3,82,43.1,88.1,12.0,33.3,31.1,54.8,20.4,26.2,11.0,33.7,25.8,7.7,5.5,13.5,21.0,118.5,24.1,0.49,-7.73,110.7,118.9,99.0,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74.0,0.231,Little Caesars Arena,18596,0.0
Golden State Warriors,2023,0.537,82,43.1,90.2,16.6,43.2,26.5,47.0,16.0,20.2,10.5,34.1,29.8,7.2,3.9,16.3,21.4,118.9,82,42.4,90.5,12.9,35.5,29.5,55.0,19.4,25.2,10.7,32.6,25.7,7.9,4.0,14.3,18.4,117.1,27.3,-0.15,1.66,116.1,114.4,101.6,0.224,0.479,0.6,0.571,14.1,24.4,0.178,0.54,12.3,76.0,0.214,Chase Center,18064,0.125
