Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2013,0.537,82,37.6,81.0,8.6,23.2,29.0,57.8,14.1,19.7,9.2,31.6,24.5,8.1,4.5,14.9,18.0,98.0,82,37.5,83.2,7.6,19.9,29.9,63.3,15.0,19.7,11.3,32.4,22.3,8.4,4.3,15.2,18.8,97.5,27.1,-0.48,-0.08,104.8,104.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,Philips Arena,15126,0.0
Boston Celtics,2013,0.506,81,37.0,79.7,6.1,17.2,30.9,62.6,16.3,21.0,8.1,31.3,22.8,8.2,4.5,14.6,21.2,96.5,81,36.1,82.0,6.8,19.9,29.3,62.1,17.7,23.9,11.4,32.1,21.6,7.8,4.7,15.3,19.4,96.7,29.1,-0.4,-0.62,103.1,103.3,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,TD Garden,18624,0.0
Brooklyn Nets,2013,0.598,82,35.9,79.8,7.7,21.5,28.2,58.3,17.5,23.9,12.8,30.0,20.3,7.3,4.8,14.7,18.3,96.9,82,37.4,80.7,6.3,17.3,31.1,63.4,14.0,19.2,10.7,28.5,21.4,7.5,4.8,13.4,21.4,95.1,28.6,-0.53,1.25,108.2,106.2,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,Barclays Center,17188,0.0
Charlotte Bobcats,2013,0.256,82,34.4,81.1,5.7,17.1,28.7,64.0,18.9,25.1,11.2,29.1,19.4,7.2,5.8,14.1,19.0,93.4,82,38.8,82.5,8.7,22.5,30.1,59.9,16.2,21.8,11.8,32.3,25.3,6.9,6.9,14.0,21.3,102.7,24.4,-0.06,-9.29,101.5,111.5,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,15324,0.0
Chicago Bulls,2013,0.549,82,35.7,81.7,5.4,15.4,30.2,66.3,16.4,21.2,12.5,30.7,23.0,7.2,5.1,14.3,19.7,93.2,82,35.4,80.1,5.5,16.0,29.9,64.1,16.5,22.3,11.0,30.1,18.8,7.3,5.8,13.7,19.6,92.9,28.0,-0.33,-0.02,103.5,103.2,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,United Center,21877,0.125
Cleveland Cavaliers,2013,0.293,82,36.5,84.2,6.7,19.3,29.8,64.9,16.8,22.3,12.2,28.8,20.7,7.9,4.1,14.0,21.2,96.5,82,37.9,79.6,7.4,20.0,30.5,59.6,17.9,24.2,10.8,31.3,23.9,7.6,6.8,15.2,19.7,101.2,24.1,-0.19,-4.87,104.3,109.4,92.3,0.265,0.229,0.514,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,Quicken Loans Arena,16192,0.0
Dallas Mavericks,2013,0.5,82,38.8,84.0,7.4,19.9,31.4,64.2,16.1,20.4,9.4,32.6,23.2,7.9,5.5,14.0,20.7,101.1,82,37.4,84.0,7.8,21.8,29.6,62.2,19.1,25.4,12.0,33.6,22.0,8.5,4.1,14.7,18.9,101.7,29.5,0.36,-0.24,105.9,106.5,94.1,0.242,0.236,0.544,0.506,13.0,21.8,0.192,0.492,13.3,73.1,0.227,American Airlines Center,20036,0.0
Denver Nuggets,2013,0.695,82,40.7,85.2,6.4,18.5,34.4,66.6,18.4,26.2,13.3,31.7,24.4,9.3,6.5,15.3,20.5,106.1,82,38.1,85.7,8.4,23.1,29.7,62.6,16.6,22.7,12.4,29.2,23.6,8.0,6.8,15.9,21.6,101.1,26.1,0.28,5.37,110.4,105.1,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193,Pepsi Center,17820,0.0
Detroit Pistons,2013,0.354,82,36.3,81.0,6.3,17.6,30.1,63.4,15.9,22.8,12.1,30.0,21.2,7.0,4.9,15.1,19.8,94.9,82,37.3,81.2,7.4,20.4,29.9,60.7,16.9,22.2,11.1,30.7,22.4,8.4,5.8,13.7,19.9,98.8,25.3,-0.34,-4.33,103.8,108.1,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73.0,0.209,The Palace of Auburn Hills,14685,0.0
Golden State Warriors,2013,0.573,82,38.2,83.4,8.0,19.9,30.1,63.5,16.8,21.3,10.8,34.2,22.5,6.9,4.2,15.1,21.4,101.2,82,37.2,84.8,8.0,23.1,29.2,61.7,17.9,23.9,11.1,31.7,23.5,8.2,4.9,13.5,19.2,100.3,25.3,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211,Oracle Arena,19374,0.125
